Site,meanObs,stdkc,stddeltakc,meanabslogr,P1,P2,P3,P4,P5,P6,A1,A2,A3,A4,A5,A6,N1,N2,N3,N4,N5,N6
ADR,580.583027552826,0.161908926375303,0.118459865822567,0.0775925374440155,56.2123296162165,76.0228574781404,92.2804011730877,103.248311549591,111.164480052631,116.981795132331,54.2524926023219,70.8422915283188,82.8803711832333,91.0051071453636,97.5645632984347,102.351973794996,54.55484377739,68.621143810256,76.8944813985043,81.9852875961096,83.8553440945768,86.3235342384134
ALB,527.197792318761,0.236790740597769,0.179387717463957,0.189129716001414,103.033800711297,139.174266714078,163.019086812977,181.009430964249,195.900424052485,209.490220888145,101.277451936348,134.292056015952,155.095595005618,170.452239659829,182.617344867201,192.300743140195,99.0020399810473,126.43113319368,136.901059408024,142.324367768246,145.14347978734,145.911514090231
ALI,597.057485495041,0.213251098218756,0.131770703532303,0.106704129630873,81.3123623808425,109.964415016592,132.349987466369,150.695401478557,166.285119377752,175.952151221218,80.3939029191845,107.266540750867,126.744816855668,142.190489613532,154.798455114578,162.623238360925,78.8744341738278,101.496073340131,115.178749573169,124.890575689158,129.835616316994,133.619771807215
BAR,297.138528338945,0.281878269722128,0.127592628402583,0.149269519620205,48.8439209203371,67.796288647241,81.7028277695977,92.6840455647956,101.800375872038,108.933185366483,48.8285410699228,67.6238979919235,81.3511512470074,92.191114700166,101.209238287085,108.162756128698,48.4387611864466,66.2676217715027,78.5042163909716,86.51765650067,93.4533168655512,97.8727068335655
BUR,455.52895125092,0.242905401095431,0.168270675891511,0.178478808028857,86.5772319720041,115.99624785427,133.767003096105,143.202135376928,151.993579332053,157.869967076498,83.8310461382683,109.073379050023,124.003518349069,133.236188369812,141.970152699607,148.153962643157,83.1635693695473,105.465214963606,116.803207734112,121.486544577892,126.833461569727,127.122005648124
CAB,337.607949606085,0.296938290559578,0.204951227712636,0.258661127688044,95.8661052481399,122.417856346043,139.664610456332,156.716168683183,169.756986462702,177.64749779046,92.0142520753827,115.397889676577,130.639422467381,144.365202344836,154.948188714457,161.749427068261,89.534315772769,110.52787211555,121.461129160448,130.212544644293,136.694776407728,140.561060531162
CAC,457.611170496566,0.288814727764015,0.199582337706587,0.279110066676284,118.462923259345,160.748062437756,189.014124364209,212.187041780734,231.662355025073,245.419155563733,116.973455013851,156.793106429844,182.526581410663,202.417988671368,218.081741838715,228.01399040987,112.154521547204,144.970889080542,161.057721625224,170.143676830947,176.65025599019,179.998653904192
CAH,405.90790520367,0.310396823142375,0.198901315365539,0.273739709545106,112.211094235693,147.139097454579,171.55615978034,189.077133289598,204.881394424544,214.186640996198,108.397276565818,139.04159625049,159.785788811989,174.922686981317,188.245984849398,196.972315776434,106.294314578665,134.52899240504,151.361858923475,161.888832879523,169.736170899072,175.05836411708
CAI,549.801017528223,0.157216573144063,0.139311589501483,0.103585098552987,64.6517271004195,86.0568272700652,100.73088639941,110.570230986619,116.564070074298,120.158992871813,61.1014818453576,77.4399263890824,87.8164914448179,95.3468297434551,101.015702362556,104.094109588865,59.6517271237889,71.1491899087732,77.1641295299389,81.5639144037677,83.0742086562463,82.1460096393845
CAR,411.392674731183,0.293363405946799,0.188430586703267,0.220693208830682,86.8633142148715,119.317954177899,137.172488525708,151.566469133081,164.465614148828,175.315928561775,84.759096256714,113.321984854744,129.387021311709,142.644038313806,154.373504725221,163.86257203245,83.2413721746542,109.036400265578,122.541840637817,129.926681561039,137.117658143072,141.040637653673
CEH,503.925532201187,0.253216007341674,0.207237202619957,0.234312776363791,118.368553052245,149.566968208423,173.729432078131,192.356800864295,204.472841676495,213.280052376822,113.319978267808,139.829312323751,157.200327333368,169.644600482619,178.206649523654,182.662773284242,109.503307883162,130.629928459436,141.25606902789,146.367486995657,149.768467139107,150.071358263946
CEN,385.990641098216,0.295089024660198,0.187921773016715,0.24480979845228,94.3920661027575,125.271819223827,146.36839462039,164.106168029811,178.430673171925,189.174447673884,92.4156824646784,120.843973223447,139.415578397007,154.461049620526,166.286900371915,174.740325800344,91.2815373171704,116.759731045189,130.230249991896,140.362501296377,147.614769176755,152.688164353457
CHB,394.274171804932,0.329067631695471,0.190406195435177,0.243101774961162,93.6142639183053,131.233295949494,159.070990749179,180.619392552753,198.774665999239,213.055959279029,92.8662825224115,128.123948561098,153.165332126321,172.38768088145,188.340383582151,200.95856163591,90.7155303274324,123.065390266647,143.378932524062,157.09334941893,168.042059774069,175.152545376704
CHI,483.74732450389,0.264992934133548,0.214988241825577,0.267427491599944,141.584134219703,179.536873445719,201.115414216417,221.156427275108,232.85034023573,238.718521288282,134.958823835954,166.359901140226,183.492240520314,197.692074696872,206.5335077744,210.527880178633,132.265352997503,158.804119181671,168.243782377957,172.730599215155,173.540481550204,173.761068244048
CHL,476.803912893488,0.256904487080267,0.173952017290555,0.22825225890059,116.837152602785,155.707096156382,179.317201601146,194.585033310379,203.474377433824,208.08275622481,113.488202015974,146.245979738116,163.957896352252,174.476334851076,180.638339606587,182.909654006495,110.411923713399,138.849686947691,150.684363874525,154.445625975023,155.018824817729,154.760429669865
CON,445.649696657037,0.0959531710354091,0.0619789665202626,0.0336971772160421,21.7026938598804,30.9940541273968,38.571915692299,44.931494502129,50.0485974678158,53.8984059394035,21.8292829029698,30.9360856320812,37.6965984281059,43.0688360677294,47.3554296213783,50.5263610502042,20.1342866563587,26.3945184480766,29.977471763757,31.679457178997,33.3119164160536,34.398989026765
DAN,461.497738261275,0.293800769870216,0.20852842397152,0.267160104509794,111.129634962728,151.866482537723,177.095712264628,200.479551035352,218.211329701625,226.613230637189,109.252149062726,144.935192243253,165.453971623857,182.514853440177,195.648814253848,202.184802338434,107.289446463319,139.001034802554,154.250570797412,165.264805927647,171.586632000614,170.765970957095
DAR,456.767838939858,0.292897363279477,0.200420978603082,0.315816266153269,141.799526245236,185.643403273794,209.204436453404,221.540926839272,229.885971882783,234.515965833204,132.965828816478,165.26472270214,180.460224292594,188.824630104098,194.365804756478,195.863515710639,132.309511273691,161.264822705163,173.563518087506,174.279574845888,175.662307502152,178.345422600723
DEA,572.789628360568,0.20219266567735,0.143513319298133,0.12904672883665,84.1611134676568,112.715169746136,131.691832842668,148.570689798141,162.142557869737,172.107474189228,83.2754571818945,109.641727521941,126.29416760708,140.401158701558,152.018953107838,160.921704975033,81.424399253563,104.268008990146,115.94733803262,125.05383959047,128.465915176453,132.537801495151
FEN,440.088991184573,0.286562246181434,0.206256885621205,0.248516397710664,112.591233047005,146.73999470098,168.778662020125,180.877275866898,190.943501515068,195.052534060964,107.307107540214,134.313806975058,149.671337935086,158.637644292171,166.104711219925,168.996344953977,104.046470517852,128.761703753613,139.915183171917,146.24520889454,149.94606293349,151.214679090451
FLO,422.841877960434,0.30864223637037,0.199676019370786,0.281196138927467,116.806701781674,158.667893699576,186.101220763598,206.531860612238,223.246944394951,236.813032528546,113.917196449532,152.226765777223,177.201251209175,196.369110648552,212.319487741703,224.671901768178,112.44495705696,147.209175910391,165.319779083767,176.684808605422,184.716855965805,190.618773156011
FUK,374.851187263897,0.337841289183173,0.186360799327098,0.265265394463177,90.2062334949416,125.323281292985,151.781819515068,178.079091678433,200.872850270971,220.085927529393,89.0860630822563,122.933163709473,148.737291496543,173.09016797903,194.064199425046,211.372016648113,88.6316478752713,119.981919885001,141.227421806012,160.29151531559,174.179236876635,185.814832562448
FUU,362.880839734473,0.343374531092355,0.187779223141211,0.290946655526126,93.3791826154046,128.542865398612,154.499715879034,177.190833481297,198.846910739246,216.140218578397,92.3016967615999,126.224312179592,151.511868760292,173.587629165027,193.725660581669,209.626620434132,90.5963672065223,121.127176398145,142.207063939027,158.909529537515,173.12368672199,182.940182277725
GAN,530.071972810623,0.270327952338538,0.193904047089851,0.220418552755524,115.60251378873,149.738521782257,174.476612548496,192.918370095325,208.076019199563,217.674836902038,111.5805811296,142.295616106842,163.577855338662,179.631607567864,192.694064201458,201.185665973903,107.518357786885,133.779268029164,150.14271902264,160.953647891043,169.580937582268,174.151973648779
GOB,637.160511233378,0.159913656870761,0.142751443393103,0.0850804129817672,69.7869912694644,112.637945966841,140.79011148502,154.572843929041,158.487213005351,154.464927845401,66.5839036268308,97.3086384302779,113.14781086782,121.072469661049,124.573245689903,120.722740592369,54.6178074178258,76.1582556375065,79.6365961790411,80.4807228316333,80.9893220894966,81.13059435254
HAF,524.131304863583,0.215893036100727,0.124435667753803,0.111433227441681,58.4533158467858,80.4430638546134,96.512176928029,107.371365526348,115.036311878196,120.52671320617,57.3150061713908,77.2446691693426,90.8526574427212,100.363158883579,107.639820929785,112.898196879926,56.4609341777269,74.3651036140659,85.3639120107275,92.6214310633235,97.5786111490301,100.490959941972
HAN,515.102414833981,0.268306112692893,0.180178317751245,0.196707036925243,106.220279500545,139.763222008845,161.153124541075,180.606513590416,194.002035459231,203.54518257571,102.174681206809,131.492483217542,150.27785741297,166.532827823738,178.791473556277,187.941471735896,100.16876903999,127.146207183796,142.14219851198,152.857342845909,158.883204541379,163.415364247242
HER,424.224998898982,0.270626021408802,0.15349827466127,0.169524865855882,68.2643624736926,93.978885423889,112.339269700258,129.443601374381,141.633943709053,149.523388705749,67.6485850375096,92.7694758027737,110.634199295012,126.157552302926,137.462054958068,145.058221729422,66.6181141541048,89.3076217026663,104.777937094926,116.390935157844,122.753609834645,126.033147164292
ISH,414.909931598711,0.308223063048249,0.191374766919528,0.266577534412015,109.229133393025,142.554375590638,163.36702504751,181.409458754767,196.448696038067,207.593759364089,104.824306401131,134.065348374163,153.09114113266,169.817932136458,183.980984618018,194.714883254624,103.169733774492,129.929665216002,145.275290497191,157.18437724373,166.216445361599,172.500791078431
